Id,Property
7574,sibling
7575,spouse
7576,child
7577,child
7578,child
7579,child
7580,spouse
7581,child
7582,parent
7583,child
7584,sibling
7585,sibling
7586,sibling
7587,sibling
7588,spouse
7589,sibling
7590,spouse
7591,sibling
7592,parent
7593,child
7594,spouse
7595,sibling
7596,child
7597,child
7598,parent
7599,parent
7600,sibling
7601,parent
7602,child
7603,sibling
7604,spouse
7605,sibling
7606,sibling
7607,parent
7608,child
7609,spouse
7610,sibling
7611,child
7612,sibling
7613,child
7614,parent
7615,parent
7616,child
7617,child
7618,child
7619,child
7620,child
7621,child
7622,parent
7623,sibling
7624,parent
7625,child
7626,child
7627,child
7628,parent
7629,sibling
7630,sibling
7631,parent
7632,child
7633,sibling
7634,parent
7635,sibling
7636,child
7637,spouse
7638,parent
7639,child
7640,child
7641,child
7642,spouse
7643,parent
7644,sibling
7645,parent
7646,parent
7647,child
7648,parent
7649,child
7650,spouse
7651,child
7652,sibling
7653,child
7654,spouse
7655,spouse
7656,parent
7657,sibling
7658,parent
7659,child
7660,spouse
7661,parent
7662,spouse
7663,parent
7664,sibling
7665,parent
7666,spouse
7667,child
7668,sibling
7669,spouse
7670,spouse
7671,sibling
7672,spouse
7673,spouse
7674,child
7675,child
7676,child
7677,child
7678,child
7679,sibling
7680,parent
7681,parent
7682,sibling
7683,spouse
7684,parent
7685,parent
7686,sibling
7687,spouse
7688,parent
7689,parent
7690,parent
7691,spouse
7692,spouse
7693,sibling
7694,sibling
7695,sibling
7696,spouse
7697,sibling
7698,parent
7699,sibling
7700,spouse
7701,parent
7702,spouse
7703,parent
7704,child
7705,child
7706,child
7707,spouse
7708,parent
7709,parent
7710,parent
7711,child
7712,sibling
7713,child
7714,spouse
7715,parent
7716,child
7717,spouse
7718,parent
7719,child
7720,sibling
7721,parent
7722,parent
7723,child
7724,parent
7725,child
7726,spouse
7727,parent
7728,sibling
7729,spouse
7730,child
7731,sibling
7732,child
7733,child
7734,sibling
7735,child
7736,sibling
7737,parent
7738,spouse
7739,parent
7740,parent
7741,child
7742,parent
7743,spouse
7744,child
7745,spouse
7746,spouse
7747,spouse
7748,sibling
7749,spouse
7750,spouse
7751,parent
7752,sibling
7753,child
7754,spouse
7755,spouse
7756,parent
7757,parent
7758,spouse
7759,parent
7760,parent
7761,parent
7762,sibling
7763,spouse
7764,parent
7765,spouse
7766,spouse
7767,parent
7768,sibling
7769,child
7770,parent
7771,spouse
7772,child
7773,spouse
7774,parent
7775,parent
7776,sibling
7777,parent
7778,child
7779,spouse
7780,child
7781,parent
7782,sibling
7783,sibling
7784,spouse
7785,spouse
7786,sibling
7787,child
7788,sibling
7789,parent
7790,child
7791,child
7792,parent
7793,sibling
7794,spouse
7795,spouse
7796,parent
7797,sibling
7798,sibling
7799,sibling
7800,parent
7801,sibling
7802,spouse
7803,sibling
7804,sibling
7805,sibling
7806,child
7807,parent
7808,spouse
7809,spouse
7810,child
7811,spouse
7812,spouse
7813,child
7814,sibling
7815,parent
7816,sibling
7817,child
7818,spouse
7819,parent
7820,child
7821,parent
7822,child
7823,child
7824,parent
7825,parent
7826,spouse
7827,parent
7828,child
7829,child
7830,parent
7831,parent
7832,child
7833,sibling
7834,spouse
7835,sibling
7836,sibling
7837,sibling
7838,child
7839,child
7840,sibling
7841,parent
7842,child
7843,parent
7844,parent
7845,sibling
7846,parent
7847,parent
7848,parent
7849,child
7850,spouse
7851,parent
7852,sibling
7853,spouse
7854,parent
7855,sibling
7856,parent
7857,spouse
7858,child
7859,spouse
7860,child
7861,spouse
7862,sibling
7863,child
7864,parent
7865,parent
7866,sibling
7867,child
7868,parent
7869,sibling
7870,parent
7871,sibling
7872,spouse
7873,sibling
7874,spouse
7875,parent
7876,sibling
7877,child
7878,spouse
7879,spouse
7880,sibling
7881,parent
7882,parent
7883,sibling
7884,parent
7885,parent
7886,sibling
7887,spouse
7888,spouse
7889,child
7890,parent
7891,parent
7892,spouse
7893,sibling
7894,spouse
7895,parent
7896,child
7897,spouse
7898,spouse
7899,child
7900,child
7901,parent
7902,spouse
7903,spouse
7904,sibling
7905,spouse
7906,parent
7907,child
7908,parent
7909,spouse
7910,child
7911,parent
7912,parent
7913,parent
7914,child
7915,sibling
7916,child
7917,parent
7918,spouse
7919,parent
7920,sibling
7921,sibling
7922,sibling
7923,sibling
7924,spouse
7925,sibling
7926,spouse
7927,sibling
7928,sibling
7929,spouse
7930,child
7931,spouse
7932,spouse
7933,child
7934,sibling
7935,spouse
7936,sibling
7937,child
7938,parent
7939,child
7940,child
7941,child
7942,spouse
7943,child
7944,sibling
7945,child
7946,sibling
7947,parent
7948,spouse
7949,spouse
7950,parent
7951,child
7952,spouse
7953,sibling
7954,child
7955,sibling
7956,spouse
7957,spouse
7958,parent
7959,sibling
7960,child
7961,child
7962,parent
7963,sibling
7964,spouse
7965,child
7966,sibling
7967,child
7968,parent
7969,parent
7970,sibling
7971,child
7972,spouse
7973,parent
7974,parent
7975,sibling
7976,child
7977,sibling
7978,child
7979,child
7980,sibling
7981,child
7982,child
7983,parent
7984,spouse
7985,sibling
7986,spouse
7987,parent
7988,child
7989,sibling
7990,spouse
7991,spouse
7992,spouse
7993,sibling
7994,child
7995,child
7996,sibling
7997,sibling
7998,parent
7999,spouse
8000,child
8001,spouse
8002,child
8003,parent
8004,parent
8005,sibling
8006,spouse
8007,spouse
8008,parent
8009,child
8010,parent
8011,parent
8012,sibling
8013,child
8014,child
8015,sibling
8016,child
8017,parent
8018,spouse
8019,spouse
8020,spouse
8021,sibling
8022,sibling
8023,sibling
8024,parent
8025,child
8026,sibling
8027,parent
8028,child
8029,parent
8030,child
8031,spouse
8032,sibling
8033,child
8034,spouse
8035,sibling
8036,spouse
8037,child
8038,sibling
8039,spouse
8040,parent
8041,parent
8042,parent
8043,spouse
8044,spouse
8045,spouse
8046,spouse
8047,sibling
8048,sibling
8049,parent
8050,child
8051,sibling
8052,child
8053,parent
8054,parent
8055,child
8056,child
8057,child
8058,child
8059,sibling
8060,sibling
8061,spouse
8062,sibling
8063,parent
8064,parent
8065,spouse
8066,sibling
8067,sibling
8068,spouse
8069,sibling
8070,sibling
8071,spouse
8072,parent
8073,spouse
